"","CountryID","Country.Name","WEBNAME","Region","World.Rank","Region.Rank","X2014.Score","Change.in.Yearly.Score.from.2013","Property.Rights","Change.in.Property.Rights.from.2013","Freedom.from.Corruption","Change.in.Freedom.from.Corruption.from.2013","Fiscal.Freedom.","Change.in.Fiscal.Freedom.from.2013","Gov.t.Spending","Change.in.Gov.t.Spending.from.2013","Business.Freedom","Change.in.Business.Freedom.from.2013","Labor.Freedom","Change.in.Labor.Freedom.from.2013","Monetary.Freedom","Change.in.Monetary.Freedom.from.2013","Trade.Freedom","Change.in.Trade.Freedom.from.2013","Investment.Freedom.","Change.in.Investment.Freedom.from.2013","Financial.Freedom","Change.in.Financial.Freedom.from.2013","Tariff.Rate....","Income.Tax.Rate....","Corporate.Tax.Rate....","Tax.Burden...of.GDP","Gov.t.Expenditure...of.GDP.","Country","Population..Millions.","GDP..Billions..PPP.","GDP.Growth.Rate....","X5.Year.GDP.Growth.Rate....","GDP.per.Capita..PPP.","Unemployment....","Inflation....","FDI.Inflow..Millions.","Public.Debt....of.GDP."
"18",18,"Bhutan","Bhutan","Asia-Pacific","116","24","56,7","1,7","60","0,0","58,8","1,8","82,9","0,2","57,2","18,4","59,4","-1,1","83,6","-0,8","65,8","-1,5","49,4","-0,1","20","0,0","30","0,0","17,8","25,0","30,0","13,5","37,8","Bhutan","0,7","$5,0","9,7","8,2","$6.665","3,2","9,7","15,9","72,1"
"19",19,"Bolivia","Bolivia","South and Central America / Caribbean","158","25","48,4","0,5","10","0,0","28,1","0,1","87,1","-1,7","62,5","-1,6","53,4","-2,4","29,9","-0,9","70,0","2,6","77,6","3,3","15","5,0","50","0,0","3,7","13,0","25,0","22,2","35,4","Bolivia","10,8","$55,2","5,2","4,8","$5.099","5,4","4,5","1.060,0","33,1"
"20",20,"Bosnia and Herzegovina","BosniaHerzegovina","Europe","101","38","58,4","1,1","20","0,0","33,9","1,9","82,9","-0,3","27,4","0,5","55,5","1,2","62,4","1,2","80,1","1,1","86,9","0,5","75","5,0","60","0,0","1,5","10,0","10,0","38,9","49,2","Bosnia and Herzegovina","3,9","$31,9","-0,7","0,8","$8.216","28,0","2,0","632,9","44,3"
"21",21,"Botswana","Botswana","Sub-Saharan Africa","27","2","72,0","1,4","70","0,0","61,2","0,2","81,0","1,5","69,8","4,7","68,5","-0,5","69,7","-0,1","72,4","0,4","82,7","3,0","75","5,0","70","0,0","3,6","25,0","22,0","28,1","31,8","Botswana","1,9","$31,5","3,8","2,7","$16.820","17,8","7,5","292,5","14,9"
"22",22,"Brazil","Brazil","South and Central America / Caribbean","114","20","56,9","-0,8","50","0,0","37,9","-0,1","68,8","-1,5","54,1","-0,7","53,8","0,8","49,8","-7,4","69,9","-4,5","69,3","-0,4","55","5,0","60","0,0","7,9","27,5","34,0","34,8","39,1","Brazil","198,4","$2.355,6","0,9","3,2","$11.875","5,5","5,4","65.271,9","68,5"
"23",23,"Bulgaria","Bulgaria","Europe","61","28","65,7","0,7","30","0,0","35,2","2,2","91,2","-2,8","64,5","0,3","73,5","-0,1","80,2","5,4","79,6","1,0","87,8","1,0","55","0,0","60","0,0","1,1","10,0","10,0","26,1","34,4","Bulgaria","7,3","$103,8","0,8","0,7","$14.312","12,4","2,4","1.899,4","18,5"
"24",24,"Burkina Faso","BurkinaFaso","Sub-Saharan Africa","98","13","58,9","-1,0","30","0,0","31,3","1,3","83,0","1,6","82,3","0,3","60,7","-0,5","55,0","-1,4","78,8","-1,8","67,8","-4,7","60","5,0","40","-10,0","8,6","27,5","27,5","13,7","24,3","Burkina Faso","17,4","$24,3","8,0","5,7","$1.399","77,0","3,6","40,1","27,7"
"25",25,"Burma","Burma","Asia-Pacific","162","36","46,5","7,3","10","0,0","11,6","-3,4","86,9","5,0","89,2","-7,6","28,3","8,3","75,7","55,7","64,8","-0,3","73,6","0,0","15","15,0","10","0,0","3,2","20,0","30,0","3,7","19,0","Burma","63,7","$89,5","6,3","5,2","$1.405","4,0","6,1","2.243,0","47,5"
"26",26,"Burundi","Burundi","Sub-Saharan Africa","141","31","51,4","2,4","20","0,0","15,9","-3,1","73,5","2,0","51,9","29,3","59,8","1,4","63,1","-3,3","68,2","-0,5","71,8","-7,1","60","5,0","30","0,0","6,6","35,0","35,0","14,3","40,0","Burundi","8,8","$5,5","4,0","4,1","$625","N/A","11,8","0,6","32,0"
"27",27,"Cambodia","Cambodia","Asia-Pacific","108","23","57,4","-1,1","30","0,0","18,7","-2,3","90,8","-0,1","88,4","0,0","36,6","-2,8","50,2","-4,0","77,9","-3,4","71,0","0,8","60","0,0","50","0,0","9,5","20,0","20,0","10,9","19,6","Cambodia","15,3","$36,6","6,5","5,2","$2.402","0,0","2,9","1.557,1","28,5"
"28",28,"Cameroon","Cameroon","Sub-Saharan Africa","136","29","52,6","0,3","30","0,0","21,9","-3,1","71,7","2,4","86,0","-1,1","45,0","-1,8","56,1","0,6","69,4","-0,5","61,2","6,3","35","0,0","50","0,0","11,9","35,0","38,5","11,0","21,6","Cameroon","21,5","$50,8","4,7","3,5","$2.366","30,0","3,0","507,0","14,9"
"29",29,"Canada","Canada","North America","6","1","80,2","0,8","90","0,0","87,7","0,7","79,7","-0,1","47,3","2,5","89,3","-2,4","83,1","0,8","76,3","1,1","88,3","0,1","80","5,0","80","0,0","0,9","29,0","15,0","31,0","41,9 ","Canada","34,8","$1.488,3","1,8","1,2","$42.734","7,3","1,5","45.374,8","85,6"
"30",30,"Cape Verde","CapeVerde","Sub-Saharan Africa","60","3","66,1","2,4","70","0,0","54,9","-0,1","77,4","-0,5","68,6","3,2","63,8","4,9","48,0","7,7","79,1","1,1","69,6","2,7","70","5,0","60","0,0","10,2","35,0","25,0","20,2","32,3","Cape Verde","0,5","$2,2","4,3","4,9","$4.133","10,0","2,5","70,9","103,4"
"31",31,"Central African Republic","CentralAfricanRepublic","Sub-Saharan Africa","161","40","46,7","-3,7","10","-10,0","20,6","-1,4","65,1","0,0","92,6","0,2","33,9","-1,3","40,4","-7,5","72,5","-5,6","51,8","-6,0","50","-5,0","30","0,0","16,6","50,0","30,0","9,4","15,7","Central African Republic","4,9","$3,9","4,1","2,8","$800","8,0","5,2","71,2","30,6"
